Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1583,1583-03-20 23:52:47.611,1583-03-23 19:11:33.916,1583-03-24 06:04:57.328,13,384
1584,1584-03-20 05:41:23.813,1584-04-10 19:12:13.937,1584-04-11 06:36:41.905,12,354
1585,1585-03-20 11:39:07.179,1585-03-31 03:40:01.070,1585-03-31 05:53:17.693,13,384
1586,1586-03-20 17:24:06.314,1586-04-18 20:07:44.652,1586-04-19 06:26:36.971,12,354
1587,1587-03-20 23:17:07.591,1587-04-07 17:39:25.242,1587-04-08 06:42:06.254,12,354
1588,1588-03-20 05:12:46.817,1588-03-26 16:41:47.629,1588-03-27 05:59:08.423,13,384
1589,1589-03-20 10:51:21.070,1589-04-14 12:07:08.056,1589-04-15 06:31:35.883,12,354
1590,1590-03-20 16:45:39.056,1590-04-04 01:16:00.321,1590-04-04 06:47:41.093,12,355
1591,1591-03-20 22:38:33.925,1591-03-24 17:50:33.052,1591-03-25 06:03:29.938,13,384
1592,1592-03-20 04:19:56.648,1592-04-11 21:04:15.257,1592-04-12 06:35:24.467,12,355
1593,1593-03-20 10:11:24.922,1593-04-01 11:04:17.924,1593-04-02 05:50:21.883,12,354
1594,1594-03-20 15:56:44.543,1594-03-21 17:48:56.566,1594-03-22 06:07:53.725,13,384
1595,1595-03-20 21:48:21.073,1595-04-09 14:33:43.853,1595-04-10 06:39:19.796,12,354
1596,1596-03-20 03:45:38.449,1596-03-28 10:51:06.452,1596-03-29 05:56:09.159,13,384
1597,1597-03-20 09:22:44.011,1597-04-16 07:45:17.724,1597-04-17 06:29:01.984,12,354
1598,1598-03-20 15:12:11.319,1598-04-05 15:37:41.585,1598-04-06 06:44:49.500,12,355
1599,1599-03-20 21:04:08.713,1599-03-26 06:24:52.735,1599-03-27 06:00:28.695,13,384
1600,1600-03-20 02:44:02.465,1600-04-13 10:00:51.795,1600-04-14 06:32:45.538,12,354
1601,1601-03-20 08:35:50.945,1601-04-03 04:13:27.845,1601-04-03 06:48:58.230,12,355
1602,1602-03-20 14:22:04.050,1602-03-23 16:29:19.769,1602-03-24 06:04:50.984,13,384
1603,1603-03-20 20:10:10.147,1603-04-11 11:57:35.975,1603-04-12 06:36:36.267,12,354
1604,1604-03-20 02:04:41.937,1604-03-30 10:59:11.668,1604-03-31 05:53:11.543,13,383
1605,1605-03-20 07:43:29.707,1605-04-18 00:36:24.850,1605-04-18 06:27:49.430,12,354
1606,1606-03-20 13:37:06.082,1606-04-07 01:12:23.637,1606-04-07 06:43:28.021,12,355
1607,1607-03-20 19:38:38.252,1607-03-27 09:39:04.953,1607-03-28 05:59:02.160,13,384
1608,1608-03-20 01:26:01.325,1608-04-14 09:30:30.074,1608-04-15 06:31:30.467,12,354
1609,1609-03-20 07:21:15.477,1609-04-04 02:10:46.176,1609-04-04 05:47:35.083,12,355
1610,1610-03-20 13:09:57.020,1610-03-24 18:44:47.150,1610-03-25 06:03:23.612,13,384
