Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1583,1583-03-21 07:52:47.611,1583-03-24 03:11:33.916,1583-03-24 05:30:26.962,13,384
1584,1584-03-20 13:41:23.813,1584-04-11 03:12:13.937,1584-04-11 06:07:41.886,12,355
1585,1585-03-20 19:39:07.179,1585-03-31 11:40:01.070,1585-04-01 05:19:47.484,12,354
1586,1586-03-21 01:24:06.314,1586-03-20 11:53:36.068,1586-03-21 05:34:01.002,13,383
1587,1587-03-21 07:17:07.591,1587-04-08 01:39:25.242,1587-04-08 06:12:01.302,12,354
1588,1588-03-20 13:12:46.817,1588-03-27 00:41:47.629,1588-03-27 05:25:44.703,13,384
1589,1589-03-20 18:51:21.070,1589-04-14 20:07:08.056,1589-04-15 06:03:38.332,12,355
1590,1590-03-21 00:45:39.056,1590-04-04 09:16:00.321,1590-04-05 06:15:18.213,12,354
1591,1591-03-21 06:38:33.925,1591-03-25 01:50:33.052,1591-03-25 05:29:16.236,13,384
1592,1592-03-20 12:19:56.648,1592-04-12 05:04:15.257,1592-04-12 06:06:40.134,12,355
1593,1593-03-20 18:11:24.922,1593-04-01 19:04:17.924,1593-04-02 05:18:39.674,12,354
1594,1594-03-20 23:56:44.543,1594-03-22 01:48:56.566,1594-03-22 05:32:49.761,13,384
1595,1595-03-21 05:48:21.073,1595-04-09 22:33:43.853,1595-04-10 06:09:48.020,12,354
1596,1596-03-20 11:45:38.449,1596-03-28 18:51:06.452,1596-03-29 05:23:19.842,13,384
1597,1597-03-20 17:22:44.011,1597-04-16 15:45:17.724,1597-04-17 06:01:36.371,12,354
1598,1598-03-20 23:12:11.319,1598-04-05 23:37:41.585,1598-04-06 06:14:12.283,12,355
1599,1599-03-21 05:04:08.713,1599-03-26 14:24:52.735,1599-03-27 05:26:49.611,13,384
1600,1600-03-20 10:44:02.465,1600-04-13 18:00:51.795,1600-04-14 06:04:33.653,12,355
1601,1601-03-20 16:35:50.945,1601-04-03 11:13:27.845,1601-04-04 06:16:19.812,12,354
1602,1602-03-20 22:22:04.050,1602-03-24 00:29:19.769,1602-03-24 05:30:21.827,13,384
1603,1603-03-21 04:10:10.147,1603-04-11 19:57:35.975,1603-04-12 06:07:37.387,12,354
1604,1604-03-20 10:04:41.937,1604-03-30 18:59:11.668,1604-03-31 05:20:56.463,13,384
1605,1605-03-20 15:43:29.707,1605-04-18 08:36:24.850,1605-04-19 05:59:37.747,12,354
